"","date","Reference","Gear","Description","cpue_gper100m2","long_name","bay_segment","Longitude","Latitude"
"1",1998-01-09,"TBM1998010906",20,"None",NA,"Old Tampa Bay","OTB",-82.720833,27.950333
"2",1998-01-09,"TBM1998010910",20,"None",NA,"Old Tampa Bay","OTB",-82.684,27.922167
"3",1998-01-09,"TBM1998010912",20,"None",NA,"Old Tampa Bay","OTB",-82.673667,27.917
"4",1998-01-09,"TBM1998010914",20,"None",NA,"Old Tampa Bay","OTB",-82.6405,27.921167
"5",1998-01-09,"TBM1998010922",20,"None",NA,"Old Tampa Bay","OTB",-82.5985,27.972167
"6",1998-01-20,"TBM1998012001",160,"Leaf Litter",0.0242718446601942,"Old Tampa Bay","OTB",-82.689333,27.963167
"7",1998-01-20,"TBM1998012001",160,"Algae: Mixed",0.0242718446601942,"Old Tampa Bay","OTB",-82.689333,27.963167
"8",1998-01-20,"TBM1998012002",160,"None",NA,"Old Tampa Bay","OTB",-82.693333,27.960833
"9",1998-01-20,"TBM1998012003",160,"Algae: Mixed",0.121359223300971,"Old Tampa Bay","OTB",-82.697833,27.960833
"10",1998-01-20,"TBM1998012004",160,"None",NA,"Old Tampa Bay","OTB",-82.639833,27.900833
"11",1998-01-21,"TBM1998012103",160,"Algae: Mixed",0.0242718446601942,"Old Tampa Bay","OTB",-82.533833,27.881667
"12",1998-01-21,"TBM1998012103",160,"None",NA,"Old Tampa Bay","OTB",-82.533833,27.881667
"13",1998-02-12,"TBM1998021202",20,"Grasses: Mixed",0.357142857142857,"Old Tampa Bay","OTB",-82.591833,27.859667
"14",1998-02-12,"TBM1998021202",20,"None",NA,"Old Tampa Bay","OTB",-82.591833,27.859667
"15",1998-02-12,"TBM1998021203",20,"None",NA,"Old Tampa Bay","OTB",-82.685833,28.029667
"16",1998-02-12,"TBM1998021204",20,"None",NA,"Old Tampa Bay","OTB",-82.668333,28.0175
"17",1998-02-12,"TBM1998021205",20,"None",NA,"Old Tampa Bay","OTB",-82.681833,27.917
"18",1998-02-12,"TBM1998021206",20,"None",NA,"Old Tampa Bay","OTB",-82.7215,27.937833
"19",1998-02-18,"TBM1998021801",160,"None",NA,"Old Tampa Bay","OTB",-82.688667,27.9725
"20",1998-02-18,"TBM1998021803",160,"None",NA,"Old Tampa Bay","OTB",-82.720333,27.954667
"21",1998-02-18,"TBM1998021805",160,"None",NA,"Old Tampa Bay","OTB",-82.701333,27.960167
"22",1998-02-18,"TBM1998021807",160,"None",NA,"Old Tampa Bay","OTB",-82.690833,27.926667
"23",1998-02-19,"TBM1998021901",160,"Algae: Mixed",0.242718446601942,"Old Tampa Bay","OTB",-82.546833,27.853667
"24",1998-02-19,"TBM1998021901",160,"None",NA,"Old Tampa Bay","OTB",-82.546833,27.853667
"25",1998-02-19,"TBM1998021902",160,"Algae: Mixed",0.242718446601942,"Old Tampa Bay","OTB",-82.552167,27.852667
"26",1998-02-19,"TBM1998021902",160,"None",NA,"Old Tampa Bay","OTB",-82.552167,27.852667
"27",1998-02-19,"TBM1998021903",20,"None",NA,"Old Tampa Bay","OTB",-82.553167,27.8475
"28",1998-02-19,"TBM1998021904",20,"None",NA,"Old Tampa Bay","OTB",-82.532333,27.885667
"29",1998-03-13,"TBM1998031302",160,"None",NA,"Old Tampa Bay","OTB",-82.599333,27.873667
"30",1998-03-13,"TBM1998031304",20,"None",NA,"Old Tampa Bay","OTB",-82.552667,27.8565
"31",1998-03-13,"TBM1998031306",20,"None",NA,"Old Tampa Bay","OTB",-82.638167,27.893833
"32",1998-03-13,"TBM1998031310",160,"None",NA,"Old Tampa Bay","OTB",-82.6045,27.8655
"33",1998-03-13,"TBM1998031311",160,"None",NA,"Old Tampa Bay","OTB",-82.5985,27.864833
"34",1998-03-24,"TBM1998032401",160,"None",NA,"Old Tampa Bay","OTB",-82.58,27.969667
"35",1998-03-24,"TBM1998032402",20,"None",NA,"Old Tampa Bay","OTB",-82.6215,27.988
"36",1998-03-24,"TBM1998032403",20,"None",NA,"Old Tampa Bay","OTB",-82.654667,27.998333
"37",1998-03-24,"TBM1998032404",20,"None",NA,"Old Tampa Bay","OTB",-82.653667,28.003333
"38",1998-03-24,"TBM1998032405",20,"None",NA,"Old Tampa Bay","OTB",-82.690667,28.029333
"39",1998-03-24,"TBM1998032406",160,"None",NA,"Old Tampa Bay","OTB",-82.675333,28.006167
"40",1998-03-24,"TBM1998032407",160,"None",NA,"Old Tampa Bay","OTB",-82.704167,27.955
"41",1998-03-24,"TBM1998032408",160,"None",NA,"Old Tampa Bay","OTB",-82.5975,27.979833
"42",1998-04-15,"TBM1998041501",20,"Algae: Mixed",0.714285714285714,"Old Tampa Bay","OTB",-82.606667,27.983167
"43",1998-04-15,"TBM1998041501",20,"None",NA,"Old Tampa Bay","OTB",-82.606667,27.983167
"44",1998-04-15,"TBM1998041503",20,"None",NA,"Old Tampa Bay","OTB",-82.690333,27.97
"45",1998-04-15,"TBM1998041505",160,"None",NA,"Old Tampa Bay","OTB",-82.703833,27.959667
"46",1998-04-15,"TBM1998041508",20,"None",NA,"Old Tampa Bay","OTB",-82.684333,27.9165
